"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10387","visual","","2026-07-04","failed","2026-07-04","","MoreValidations.spec.js","",""
"","24353","CLient App Login of ZARA COAT 3","","2026-07-04","passed","2026-07-04","","DurgaTestPO.spec.js","",""
"","30728","refund not eligible for group ticket booking","","2026-07-04","broken","2026-07-04","","assignment2R.spec.js","",""
"","6516","CLient App Login of ZARA COAT 3","chrome","2026-07-17","passed","2026-07-17","","DurgaTestPO.spec.js","",""
"","13351","@web PoPup Validations","","2026-07-04","passed","2026-07-04","","MoreValidations.spec.js","",""
"","12727","@SP Place the order","","2026-07-04","passed","2026-07-04","","NetworkTest.spec.js","",""
"","8785","@web PoPup Validations","chrome","2026-07-06","passed","2026-07-06","","MoreValidations.spec.js","",""
"","6846","DropDown","","2026-07-04","passed","2026-07-04","","UIBasicstest.spec.js","",""
"","31651","Assignment1","","2026-07-04","broken","2026-07-04","","assignment1.spec.js","",""
"","31805","assignemet2","","2026-07-04","broken","2026-07-04","","assignment2.spec.js","",""
"","6948","@web Screenshot & Visual comparison","chrome","2026-07-06","passed","2026-07-06","","MoreValidations.spec.js","",""
"","5073","@QW Security test request intercept","","2026-07-04","passed","2026-07-04","","NetworkTest2.spec.js","",""
"","6804","ChildWindowHandel","","2026-07-04","passed","2026-07-04","","UIBasicstest.spec.js","",""
"","11241","CLient App Login of ADIDAS ORIGINAL","","2026-07-04","passed","2026-07-04","","DurgaTestPO.spec.js","",""
"","12650","@web Screenshot & Visual comparison","","2026-07-04","passed","2026-07-04","","MoreValidations.spec.js","",""
"","3129","@web Page Playwright Test","","2026-07-04","passed","2026-07-04","","UIBasicstest.spec.js","",""
"","6826","Verify the created Order","","2026-07-04","passed","2026-07-04","","WebAPIPart1.spec.js","",""
"","9628","Browser Context test","","2026-07-04","passed","2026-07-04","","UIBasicstest.spec.js","",""
"","3526","specialLocators","","2026-07-04","passed","2026-07-04","","SpecialLocator.spec.js","",""
"","20325","Calendor Handling","","2026-07-04","passed","2026-07-04","","Calendor.spec.js","",""
"","2294","@web Page Playwright Test","chrome","2026-07-06","passed","2026-07-06","","UIBasicstest.spec.js","",""
"","7211","CLient App Login of ADIDAS ORIGINAL","chrome","2026-07-17","passed","2026-07-17","","DurgaTestPO.spec.js","",""
"","30239","CLient App Login","","2026-07-04","broken","2026-07-04","","DurgaTest.spec.js","",""
"","31578","refund eligible for single ticket booking","","2026-07-04","broken","2026-07-04","","assignment2R.spec.js","",""
"","1","Client App Order generation","","2026-07-04","broken","2026-07-04","","WebAPIPart2.spec.js","",""
